T,Energy,Energy_SEM,Magnetization,Magnetization_SEM,Acceptance,Acceptance_SEM,Energy2,Energy2_SEM,Magnetization2,Magnetization2_SEM,SpecificHeat,MagneticSusceptibility
10,-0.20402294921874997,0.0005586903948642203,-0.000213134765625,0.0005293902269085327,0.36131603124720335,0.00037578198352329525,0.042171014308929444,0.00022553567528930306,0.0004106727838516236,0.000010252810203601108,0.000005456505010128162,0.00004106273574233056
9.8,-0.20666552734375002,0.0004346758836391139,0.0009348144531250002,0.0004779241464135422,0.3753094927608348,0.00035226997474664017,0.043238683223724365,0.00018900561556619942,0.00039828121662139894,0.000010639132144601423,0.000005498157345419421,0.00004055176924077832
9.6,-0.21138427734374998,0.0006055460234522731,-0.0012194824218750002,0.0006784766142616338,0.3884340714766315,0.00033038942839439374,0.045177235126495366,0.0002561546129443014,0.0003777934312820435,0.000012789768643451995,0.000005359401240841524,0.000039198572281748066
9.4,-0.21624707031249998,0.000469990018373375,0.001283203125,0.00041071945033172984,0.40074207534538486,0.0003103911690206348,0.04727691173553467,0.00020342965483679244,0.0003789620399475098,0.000017267440256825075,0.000005818428211808088,0.000040139939328457454
9.2,-0.22009521484375,0.0007070208806916166,0.00005078124999999996,0.000575281501361743,0.41230691117580376,0.00029181283134589985,0.04892674779891968,0.00030792204368444183,0.0003670837879180908,0.000012794029793089103,0.000005728310512797865,0.00003990013143290644
9,-0.22594873046875003,0.000367461439172697,0.00016137695312500006,0.00042587607491472053,0.42318074435924646,0.0002743464821811108,0.0515662865638733,0.00016732794286706873,0.000378320574760437,0.000012358608843203681,0.0000063389847337463,0.0000420327258043819
8.8,-0.23230175781249995,0.0007514184254567934,0.000760986328125,0.0006432005166740263,0.43340549966969066,0.00025804797598797774,0.05447730255126952,0.0003530532080438848,0.0004044870138168336,0.000008050817583562266,0.0000066270127646195796,0.00004589862654832278
8.6,-0.23795361328125,0.0004028462059532644,-0.0009057617187499999,0.00044780182660008445,0.4430257201005552,0.0002428314999933252,0.05713800764083863,0.00018772035656492393,0.00039211535453796394,0.000011973453667825678,0.000006977901125418499,0.00004549941281939663
8.4,-0.24364306640624997,0.0005604998525641427,-0.0009855957031250002,0.0004430974178042681,0.4520824560212137,0.00022881554947426237,0.05989614820480347,0.0002732217223404531,0.00042670214176177983,0.00001709824994720003,0.000007570923993241771,0.00005068223129425731
8.2,-0.24927880859374998,0.0004612384654104453,0.00005932617187499999,0.0005343061001178286,0.4606126124863108,0.00021568032665476337,0.06266013288497925,0.00022926984266124066,0.0004571408033370972,0.000019170120462104645,0.000007736592371502236,0.00005574844923688145
8,-0.25632666015625,0.0003532430873337621,-0.00006396484374999998,0.0005937179556782626,0.4686431381558823,0.00020325498338875616,0.06622504949569702,0.0001750560659692456,0.0004127013683319092,0.00001628449560867061,0.000008151449825614769,0.000051587159603834156
7.8,-0.2641455078125,0.0010159343541782198,0.0006828613281250001,0.0005961743151615171,0.47620375996279496,0.00019128724724190197,0.07030640602111818,0.0005411814589436213,0.00041875755786895753,0.000013921004431418903,0.000008769834378610697,0.000053627084394296015
7.6,-0.27113671875,0.000516120810981615,-0.000327880859375,0.0007916362108261687,0.4833198479507968,0.000179952042481801,0.07401422023773194,0.00028081563203816314,0.00048274362087249756,0.000019957346672634734,0.000008640927687246043,0.00006350475197559909
7.4,-0.27915380859375,0.0005368354459498168,-0.0001501464843750001,0.0006138824868791376,0.49001441016084024,0.00016947746904356223,0.07845580053329468,0.0003078419838627809,0.00046252095699310305,0.000014463131871786635,0.000009659453632189015,0.00006249978554409903
7.2,-0.28786816406250004,0.00032377737864784753,0.00016503906249999996,0.000668071109892903,0.49630619778425344,0.00015915893075811388,0.0833908681869507,0.00018772243138657073,0.00044508004188537596,0.000013703456980200953,0.000010084650969063558,0.00006181288944350348
7,-0.29537939453125006,0.000492770887709228,-0.0013405761718750004,0.0006186041159073253,0.5022143344515421,0.0001494243697612473,0.08775134897232055,0.00029195570368724616,0.0004831365346908569,0.0000193470499781603,0.000010252290993319853,0.00006876277003117969
6.8,-0.30570117187500007,0.0005615668291658471,0.0010551757812500002,0.0004480845587663221,0.5077501162435392,0.0001401549547630745,0.09400124931335449,0.00033225549463324696,0.0004762561321258545,0.000025712316302870374,0.000011852137275219784,0.00006987393179360559
6.6,-0.31623583984375003,0.0009349341438682546,0.00049951171875,0.0006857888167044891,0.5129280730121637,0.00013107631417266005,0.1005510926246643,0.0006037236233694702,0.0004794509410858155,0.000015717006096750477,0.000012534118984903143,0.00007260627714070408
